"runtime","fcsthour","validtime","gec00.u","gec00.v","gep01.u","gep01.v","gep02.u","gep02.v","gep03.u","gep03.v","gep04.u","gep04.v","gep05.u","gep05.v","gep06.u","gep06.v","gep07.u","gep07.v","gep08.u","gep08.v","gep09.u","gep09.v","gep10.u","gep10.v","gep11.u","gep11.v","gep12.u","gep12.v","gep13.u","gep13.v","gep14.u","gep14.v","gep15.u","gep15.v","gep16.u","gep16.v","gep17.u","gep17.v","gep18.u","gep18.v","gep19.u","gep19.v","gep20.u","gep20.v"
2020-05-15 18:00:00,0,2020-05-15 18:00:00,-6.7379568166773,-2.82755078986842,-6.38847003896721,-2.59182989189261,-5.84636536947249,-2.71534841331751,-6.14667200601379,-2.98604950147748,-6.99909471747707,-2.82549243954709,-6.95055752845551,-2.83761149907054,-6.75674385730027,-2.46758300139233,-6.74395043742276,-3.23740316451959,-6.32791215264977,-2.82229953057411,-6.70564622453997,-3.08043344211088,-7.05797754139025,-2.80136656037709,-7.36990406195356,-2.88428312639119,-6.35966332653214,-2.82637263533557,-6.54709754808367,-2.89847615623933,-6.16064161538078,-3.97034202846153,-6.87384817782743,-2.58740420366132,-6.91897205100092,-1.85721117921624,-7.15749570772354,-2.28876002109336,-7.6244449202505,-2.68420822964224,-7.15703866961486,-3.02368470923864,-6.41608756802516,-3.03473868494146
2020-05-15 18:00:00,3,2020-05-15 21:00:00,-8.06477552096722,-3.87336478267134,-7.05465764867935,-3.19857426157228,-7.66009626295066,-3.85004922829218,-7.51473810376642,-3.97610137160163,-8.2162887160631,-4.19962153773339,-7.95927091985418,-3.78903678191261,-8.20074599981417,-3.47687500436866,-8.32906779829097,-3.11675887505863,-7.58250899792325,-3.5101587876406,-7.53429370105964,-4.0769284477077,-8.87953811180398,-4.16946382902554,-8.26777418196877,-3.79695321778108,-7.47197355963647,-4.07087438849038,-7.6017898798852,-3.30191023807773,-7.44017225122043,-5.24641841312495,-7.86572430633867,-3.14423758559752,-8.02563831460724,-2.72404273624364,-7.7248758699319,-3.18833366839556,-8.55958833999412,-3.24824049218475,-7.82192660690895,-4.62493105421516,-7.57877448574221,-4.84467315458008
2020-05-15 18:00:00,6,2020-05-16 00:00:00,-7.8229505196533,-3.60754044316651,-7.04585951518404,-3.39833237173542,-6.64191238664317,-4.43935181914881,-8.29500391395803,-3.01598195834707,-7.74392024597873,-3.62852444479423,-7.04857415478047,-3.89860353504932,-7.80869981961722,-3.59234869007065,-7.20387446087851,-3.762118375424,-7.30500288646529,-3.52920160102698,-7.49052101608638,-3.69232623031449,-7.89296336398539,-3.68167822700784,-7.98990496096074,-3.4618039928119,-7.68037497771157,-4.4288493549729,-7.5111326668186,-3.38563027185079,-7.59362666215244,-4.48908318884146,-7.6608696551631,-3.0084388385195,-7.12249300391778,-2.78531264129432,-7.37617583532125,-3.67025986326862,-7.45982643026344,-3.41748791251725,-7.57248113849021,-4.60712943391733,-8.01028211729928,-4.62021773224764
2020-05-15 18:00:00,9,2020-05-16 03:00:00,-6.42548849835866,-3.57925361867304,-5.55543030785669,-3.81393931437475,-6.42498307655226,-5.19190304574024,-7.58195834740736,-1.95914763878373,-7.06320943560289,-2.51880976372203,-6.73602297740107,-3.57349979368823,-6.51170788914627,-4.11973034031933,-5.62654384417067,-4.21379719877582,-7.40406596077344,-3.11823995756431,-6.21692583746122,-3.99208566465602,-6.06986556495745,-3.46832402545323,-6.66512557612154,-3.75788344400775,-6.14502541060241,-3.96352413859041,-6.4581940683297,-3.45704598785702,-6.69874295901808,-3.98702188671413,-6.44234080652271,-3.37554529967747,-5.49255326836506,-2.59595582344171,-5.23480733159456,-4.30852704550186,-6.94274767730226,-3.42264494066627,-6.49226274376037,-4.78186831489239,-7.7385866971497,-3.30959823338276
2020-05-15 18:00:00,12,2020-05-16 06:00:00,-5.42464361396927,-5.01096302592117,-3.91165280637759,-5.42377096493677,-4.8341042180775,-6.60385381078568,-5.63704828511545,-3.48137308378408,-5.71385371333834,-3.70918441715318,-5.60230145707403,-5.12642251879911,-6.23075380240783,-5.28200487277699,-4.54452576919966,-5.87231890421421,-4.32826264997804,-3.7841640124797,-5.3192472617854,-5.29734183348885,-4.81779603920902,-4.01546549339001,-6.47715130350688,-4.38572611537821,-4.46621740354083,-4.83485555080654,-5.07389004808641,-4.9113636636076,-4.88390094058699,-5.66871905832347,-5.49864481885604,-4.75528239543757,-4.44916611818422,-4.65290130253936,-3.85708729328098,-6.64265794162598,-6.90640066781278,-4.21204048031446,-5.38998489722012,-5.8101875264972,-6.68043337077197,-3.2828903163823
2020-05-15 18:00:00,15,2020-05-16 09:00:00,-4.14415140080518,-6.65831550428393,-3.62873193951827,-6.49613013805301,-3.69893000402105,-7.34079933108419,-4.65419286926743,-5.92893320669732,-5.84567698816748,-4.40699850363723,-4.03647420168684,-6.25828916885376,-5.89688573769834,-5.97968798723283,-3.51795957006863,-6.54695862019191,-2.53627497741487,-5.90530724751845,-4.33759708418097,-6.52847163184224,-4.78902703104503,-4.64803877415,-7.25440605515331,-4.40374366225106,-4.71972982618268,-5.99847273915581,-4.66213416249399,-5.59845752419276,-4.45427880068513,-6.71769050008382,-4.05526010747799,-6.54577652716695,-4.0511735739658,-5.92872088905677,-3.45734283807785,-7.69005762175276,-5.09291142975664,-6.45951704447457,-4.83492176862511,-6.28983985256589,-4.90748866611265,-5.33312077972193
2020-05-15 18:00:00,18,2020-05-16 12:00:00,-4.00595823265372,-8.48226347734274,-2.82253295561147,-8.0478251610969,-2.67634754676734,-7.41927455489707,-5.234155809066,-7.17248684341118,-5.50927549076696,-4.66890652842113,-3.01585798465635,-8.21293027514807,-4.41835043429355,-7.59597259957886,-2.74123175645661,-7.6173392216795,-2.70802104510132,-7.45453517217357,-2.40807801293948,-8.55336857379458,-4.26785881551635,-5.28663388294326,-6.64418326556887,-6.05386517493556,-3.49961533669652,-7.17203948299738,-4.90731372439551,-6.77001307882344,-4.4274484863759,-8.18556863154635,-3.08275896358841,-9.14811754985417,-3.01999993116545,-7.03581399925121,-2.25459795782536,-8.54782383164129,-4.39450010269999,-7.60947173950555,-3.01927617818654,-7.12604881933513,-4.50140103046293,-6.96602323863382
2020-05-15 18:00:00,21,2020-05-16 15:00:00,-3.71374548329247,-8.31245522557384,-3.40821335547112,-8.66679323366163,-3.15104510469192,-7.45355467530831,-5.68747605752868,-6.73837971683868,-6.15533890726614,-5.44487947100825,-3.2374192862714,-9.05799407204978,-4.11593876269973,-7.78988218653951,-2.10089124034896,-7.39321297640442,-4.16652979085737,-7.78011883012242,-1.81363007529204,-9.74651102977796,-3.68665207484951,-4.99245325990668,-4.87683211603792,-7.08276282081225,-3.4208756610757,-7.00705502996416,-6.000356750005,-7.05689124479083,-4.91953188270158,-8.42610291534117,-3.16696766046527,-9.18506162796663,-3.79800171414842,-6.06481412678875,-0.870780673715208,-9.21414138358438,-3.89761088705712,-8.08174883659416,-1.75604117036425,-6.99486652312795,-5.41289969848608,-7.31817626634162
2020-05-15 18:00:00,24,2020-05-16 18:00:00,-1.63423030887149,-7.61597356292939,-2.15664983852861,-8.30153968504353,-1.03220361438366,-7.39734494059835,-3.11671939325698,-6.40921581539174,-4.69276927218001,-5.22965818636967,-1.21068990683185,-8.25371215984049,-2.6523869239237,-6.88792646012373,-0.668762153989365,-6.70666841209523,-4.11017195703915,-7.94525542441965,0.029453443156394,-8.39377202507194,-1.77550114037108,-5.40196071522785,-1.04154808714825,-6.66324475685609,-1.34000015741365,-6.92982514611484,-3.90108012964452,-8.21651222492351,-2.994640535011,-8.62047869313794,-1.05913705497066,-7.93256501761875,-1.47409378698705,-4.42285889371602,1.49795627419875,-8.71727648594923,-1.08270316998805,-7.99918100472307,0.680393605690905,-6.64070340965543,-3.92087977847537,-8.02183921110178
2020-05-15 18:00:00,27,2020-05-16 21:00:00,-0.0809047176879139,-7.77446598113162,-1.83097145546762,-7.99169751484958,0.956267829521836,-7.37074474576472,-1.27775013020012,-7.04207662184856,-2.90598783647443,-5.35312493973228,0.463249105503515,-8.02652471745692,-0.573075397751732,-7.09837311291054,-0.304261596527378,-6.53302506452704,-3.81570943805931,-8.1836418823927,0.681112495762431,-8.23131920992009,-0.409254540160009,-5.97019366003282,2.08226767022509,-6.4206343286865,-0.0191533799436074,-7.21886587973142,-2.28053726894356,-9.09602535968101,-1.78956295349264,-8.70939408760802,-0.0185172447219405,-7.51173251959476,0.262197551324403,-5.44935948462194,2.22025528059142,-8.2784565721827,-0.118481359458653,-8.01517482267322,2.20787430879141,-6.48054616888253,-1.67159240582539,-8.2388734174193
2020-05-15 18:00:00,30,2020-05-17 00:00:00,0.683704622229128,-6.27677680389289,-1.41282625174368,-6.47524647210159,2.07680709110354,-6.29611920623214,0.557587768138875,-6.18138572501048,-1.77335933722588,-5.57658078163449,1.3973494388013,-6.58876516849014,0.225496414154795,-5.62513455580481,0.283361709143343,-5.25205357626394,-2.35842470593266,-6.53680176338937,1.23272289284594,-6.80556012484567,0.054151080315621,-4.9777439644163,2.71768332346255,-5.4191530416653,0.489778868295362,-6.29550516325172,-0.901825908726476,-7.82647303202592,-0.938641334310171,-7.19820457474978,0.669123542994582,-5.74667348353859,0.718642472462118,-4.70438849168619,2.16645506394791,-6.43171241936785,0.467635469146965,-6.56856482959377,2.71063603163455,-5.52011972842928,0.255184695692223,-7.36247585080583
2020-05-15 18:00:00,33,2020-05-17 03:00:00,1.6900642159514,-4.37359012367487,1.13976916449204,-4.2267353571244,3.02273215506151,-4.68023961692962,1.6135317804892,-5.02413579921435,-1.21340437146464,-4.39660014300181,2.93989911649141,-4.26597903609295,2.47487152468113,-3.686945210401,1.9466802967122,-3.60782603391912,-1.10759593551349,-5.17554319653318,2.98134571456593,-4.57616075080086,1.43173631158056,-3.1952210874339,4.10184264792198,-3.20239215508523,1.78205788191564,-4.47536061819446,0.795936751840997,-6.05711315698533,0.476848186149872,-5.67930757122441,2.32070544036627,-3.77010490795211,2.34079300844075,-3.15743699045924,3.11826917487138,-3.82014800607559,1.96358826874344,-4.25312066058082,3.50659150390138,-3.58525471292527,1.81271900665641,-5.53671693487057
2020-05-15 18:00:00,36,2020-05-17 06:00:00,2.4263086834663,-3.55325403021098,2.11879357841289,-4.34836746364988,3.88259878543135,-2.94506190858862,2.00177036935414,-3.71644149029506,0.989175015389243,-3.39604382989926,3.61597269945163,-3.37677427291996,4.08937919520706,-3.38043312631236,3.38104181941409,-3.00192437465529,0.838315516795462,-4.44609669213979,3.43467556004013,-4.00076340602987,3.1628511583138,-2.04999072199169,4.78030040407199,-2.66676650781282,2.38100380524551,-3.30615593491882,2.4567960066755,-4.60769129363249,1.67314792515622,-4.80596061446292,2.84472912080194,-3.10829000692341,3.22297831443447,-2.42466470819313,4.02709408538462,-2.61654824008219,3.03672855985898,-3.14750014436517,4.16626202953458,-2.39754972578933,2.63935975394239,-4.4748481246015
2020-05-15 18:00:00,39,2020-05-17 09:00:00,3.28582218519143,-3.33025146664096,2.38235190142867,-3.76477703855942,4.70053310310872,-2.38760071601917,2.84553219200248,-2.96895794538506,2.6181980448945,-3.8647454874841,3.41838681504895,-2.38248669030352,4.18209034568073,-2.27455084854675,3.80018453810486,-2.81823843551853,0.850989538348604,-4.77816945418361,3.68431363039014,-3.02816523519283,3.66902002532017,-1.24312246962036,4.57042070195079,-1.87677519936887,3.2353224618577,-3.03492772778327,3.66848440683143,-4.14607692667122,2.24421447594721,-4.56003660285853,3.03527575030858,-2.16343266666095,3.8164133221745,-1.32738128003745,4.45944874133808,-1.47704396453355,3.81535288392569,-3.00956096100755,5.14050171651914,-1.42514557088995,3.23447010064143,-3.72737124534319
2020-05-15 18:00:00,42,2020-05-17 12:00:00,3.56468096237443,-3.28380029478361,3.13002869495942,-3.23643885686848,5.08802650774935,-2.58680194621113,3.38351288123234,-2.55285475735653,2.94635915217213,-4.17581356235449,3.62314191733332,-1.76887678212373,3.78168544049182,-1.48417520307575,3.43813472333576,-2.48810445719508,0.446670311076899,-4.4019868719035,3.72916969560971,-2.3104695397478,3.42661757266852,-0.835901727435667,4.83468519708144,-1.64847102510604,3.1734483920463,-3.91459295259675,3.47415251136234,-5.04598292552609,2.33207673137431,-4.69289991480364,3.23810754135404,-2.08290657252069,3.91390917734343,-1.04527390249602,4.66194484978447,-0.95152634932548,3.58324435251609,-2.83263677403877,6.02240342627895,-1.7933323425571,3.01669441866808,-3.99870506153303
2020-05-15 18:00:00,45,2020-05-17 15:00:00,2.38556511631516,-3.56985709687674,2.40115937645071,-3.65541798376211,3.62357186969764,-3.51619644609378,1.74233248510137,-2.91589613778842,1.88337347829463,-3.68930542996981,3.56398813903643,-1.68397845685034,3.45255892407401,-1.67380479811074,2.73820344777607,-1.91077291396181,-1.36676922696124,-4.53890946599725,2.49158524217722,-2.26174720455189,2.50089984653061,0.728592447377672,4.63937964254278,-1.81058063631096,1.56315524918397,-4.52886845550169,2.02677444119657,-5.77314470140998,0.975190780716148,-4.90752663044542,2.98158582862948,-1.82293767868812,2.93848400964921,-0.746053236316618,4.23320130290431,-1.23685559148479,2.02750316875768,-3.44264212981847,4.68760611104263,-2.31147356115781,2.10301498917918,-4.29906748452607
2020-05-15 18:00:00,48,2020-05-17 18:00:00,0.81238757823252,-3.60299860272144,0.068247530552035,-2.59821391706254,1.0027727079846,-2.57894194872217,-0.22713055002808,-2.41506521880381,1.20104425341042,-3.05883384786219,1.62987419143221,-1.6614660064672,0.781183481307948,-1.25845525261882,1.19247760535613,-1.81045658209909,-0.953078350844233,-4.13023684071106,1.72332145060379,-1.79184096979585,2.61046459651364,0.938683482957679,2.27304104004344,-2.10739949918559,0.249893157727468,-4.02380072788946,0.349993274658377,-5.76769560233583,0.0611256519491178,-5.24217534787667,0.297755025116964,-2.9178241188738,0.148816729850238,0.0189019400348738,2.11451804525575,-0.706344207786292,0.256427227189031,-3.66687184234597,2.70583593216852,-2.20549598030971,0.0997198088853617,-4.22411053830228
2020-05-15 18:00:00,51,2020-05-17 21:00:00,-0.335811601493801,-2.56694908810863,-1.13939295961629,-2.09162312141195,-1.24787776816792,-1.75417923530085,-0.473729780340113,-1.65016703577512,-0.388168518705525,-3.75194661226941,-0.357613843746111,-2.40207030154726,0.976917040017242,-3.1525857410452,0.384034943541708,-2.91570055832776,-1.53544978657025,-4.55265883668924,0.679669778956828,-2.47607246446843,2.64012486855413,-0.658329205021695,-0.626552779877808,-2.81537533187982,-0.609050504497194,-3.03472507470227,-0.576002857476397,-5.02986621950502,-0.282359320090885,-5.53368227505036,-1.74734978818132,-2.99821541221386,-0.761146954514566,-0.95974433457567,0.42578397824201,-0.0713013687647645,-0.909501416851843,-2.65184845307102,0.63252005784707,-2.34336708912117,-0.706232239849651,-3.51339197982202
2020-05-15 18:00:00,54,2020-05-18 00:00:00,-2.34471898655018,-0.768378977902566,-3.18641480708666,-1.27710920716194,-3.36823461182939,0.454677483258837,0.285643771277727,-1.7563460036905,-3.72300971220229,-1.31168242708559,-2.11832186476807,-1.71744790836794,-2.02277418394411,-3.3573831479809,-2.95864245823224,-1.81477210529351,-4.01602998828901,-3.89704693803331,-3.12198991838157,-1.34707204341231,0.219831663420977,-0.446941704314425,-3.60707687738921,-1.19501672803793,-2.63498208076044,-1.23081901947506,-0.786361611144725,-4.17466349991225,-3.27238803780099,-4.70266846004794,-1.58859297242166,-2.12516265583006,-0.725169681453823,-2.6575482230508,-0.585248734183493,1.57646667138632,-2.49522820264689,-0.912617947368409,-1.87520808291289,-1.7956577112744,-2.18636227166984,-2.83714719713239
2020-05-15 18:00:00,57,2020-05-18 03:00:00,-2.20870452644184,1.53186523608718,-2.93108017572838,1.7375950963493,0.154021496417341,1.4550998947682,-1.8997555771566,-1.33658140881686,-3.0091063158863,1.06766246381574,-1.90892264665055,-0.493779415896715,-1.62103060595321,-1.09611411914908,-2.82643109453418,0.870361885129006,-1.75175310937386,-1.61671696442244,-2.2440494643192,-0.166123987947793,1.89259227691693,0.850283825686784,-0.926426958098165,0.431078798431663,-3.17284463170212,1.36548337519892,0.118513780613069,-3.22942191838935,-1.7348193456775,-1.68896314727108,-0.722504385462188,-1.79510798400273,-0.792009483172291,-1.88225250181664,4.02306350988329,1.30258522237056,-2.62274990776105,1.11166838041255,0.667526422648687,-1.79017127821692,-1.78482746927037,-0.723644054532476
2020-05-15 18:00:00,60,2020-05-18 06:00:00,1.74304294430232,1.40264067140654,0.565600908508152,1.6529506437242,3.28593831395418,-0.625741815278926,1.08257739483954,1.42002993658304,-0.635771106035058,0.893706706613442,0.444979452458028,0.396817913521986,0.18541500701875,-0.150003827162314,0.154904604844577,1.15505195832969,1.03942228418591,0.5331697840772,0.554727575028774,-0.095349293874527,4.35517472123516,0.0316007605894804,2.63909518220732,0.284925726077034,0.373896723276935,2.00682892461641,1.35850423132722,-2.29675347475795,1.67532214226831,0.591559328166304,-0.372552954639075,-0.459930831899403,0.675275459918168,0.155678242226116,4.61026407514841,-1.01156330801232,0.0484771703671733,1.41603747563142,2.07933245864404,-0.0711338390993167,-0.149540028574394,0.617929539868025
